Unit price,Quantity,hour,day,month,weekday,Branch,City,Customer type,Gender,Product line,Payment
74.69,7,13,5,1,5,A,Yangon,Member,Female,Health and beauty,Ewallet
15.28,5,10,8,3,4,C,Naypyitaw,Normal,Female,Electronic accessories,Cash
46.33,7,13,3,3,6,A,Yangon,Normal,Male,Home and lifestyle,Credit card
58.22,8,20,27,1,6,A,Yangon,Member,Male,Health and beauty,Ewallet
86.31,7,10,8,2,4,A,Yangon,Normal,Male,Sports and travel,Ewallet
85.39,7,18,25,3,0,C,Naypyitaw,Normal,Male,Electronic accessories,Ewallet
68.84,6,14,25,2,0,A,Yangon,Member,Female,Electronic accessories,Ewallet
73.56,10,11,24,2,6,C,Naypyitaw,Normal,Female,Home and lifestyle,Ewallet
36.26,2,17,10,1,3,A,Yangon,Member,Female,Health and beauty,Credit card
54.84,3,13,20,2,2,B,Mandalay,Member,Female,Food and beverages,Credit card
14.48,4,18,6,2,2,B,Mandalay,Member,Female,Fashion accessories,Ewallet
25.51,4,17,9,3,5,B,Mandalay,Member,Male,Electronic accessories,Cash
46.95,5,10,12,2,1,A,Yangon,Normal,Female,Electronic accessories,Ewallet
43.19,10,16,7,2,3,A,Yangon,Normal,Male,Food and beverages,Ewallet
71.38,10,19,29,3,4,A,Yangon,Normal,Female,Health and beauty,Cash
93.72,6,16,15,1,1,B,Mandalay,Member,Female,Sports and travel,Cash
68.93,7,11,11,3,0,A,Yangon,Member,Female,Health and beauty,Credit card
72.61,6,10,1,1,1,A,Yangon,Normal,Male,Sports and travel,Credit card
54.67,3,18,21,1,0,A,Yangon,Normal,Male,Food and beverages,Credit card
40.3,2,15,11,3,0,B,Mandalay,Normal,Female,Home and lifestyle,Ewallet
86.04,5,11,25,2,0,C,Naypyitaw,Member,Male,Electronic accessories,Ewallet
87.98,3,10,5,3,1,B,Mandalay,Normal,Male,Health and beauty,Ewallet
33.2,2,12,15,3,4,B,Mandalay,Normal,Male,Home and lifestyle,Credit card
34.56,5,11,17,2,6,A,Yangon,Normal,Male,Electronic accessories,Ewallet
88.63,3,17,2,3,5,A,Yangon,Member,Male,Sports and travel,Ewallet
52.59,8,19,22,3,4,A,Yangon,Member,Female,Home and lifestyle,Credit card
33.52,1,15,8,2,4,B,Mandalay,Normal,Male,Fashion accessories,Cash
87.67,2,12,10,3,6,A,Yangon,Normal,Female,Fashion accessories,Credit card
88.36,5,19,25,1,4,B,Mandalay,Normal,Female,Food and beverages,Cash
24.89,9,15,15,3,4,A,Yangon,Normal,Male,Health and beauty,Cash
94.13,5,19,25,2,0,B,Mandalay,Normal,Male,Fashion accessories,Credit card
78.07,9,12,28,1,0,B,Mandalay,Member,Male,Sports and travel,Cash
83.78,8,14,10,1,3,B,Mandalay,Normal,Male,Sports and travel,Cash
96.58,2,10,15,3,4,A,Yangon,Normal,Male,Health and beauty,Credit card
99.42,4,10,6,2,2,C,Naypyitaw,Member,Female,Food and beverages,Ewallet
68.12,1,12,7,1,0,C,Naypyitaw,Member,Female,Sports and travel,Ewallet
62.62,5,19,10,3,6,A,Yangon,Member,Male,Sports and travel,Ewallet
60.88,9,17,15,1,1,A,Yangon,Normal,Female,Electronic accessories,Ewallet
54.92,8,13,23,3,5,C,Naypyitaw,Normal,Female,Health and beauty,Ewallet
30.12,8,13,3,3,6,B,Mandalay,Member,Male,Home and lifestyle,Cash
86.72,1,18,17,1,3,B,Mandalay,Member,Female,Home and lifestyle,Ewallet
56.11,2,10,2,2,5,C,Naypyitaw,Member,Male,Home and lifestyle,Cash
69.12,6,13,8,2,4,B,Mandalay,Member,Female,Sports and travel,Cash
98.7,8,20,4,3,0,C,Naypyitaw,Member,Female,Food and beverages,Cash
15.37,2,19,16,3,5,C,Naypyitaw,Member,Male,Health and beauty,Cash
93.96,4,18,9,3,5,B,Mandalay,Member,Female,Electronic accessories,Cash
56.69,9,17,27,2,2,B,Mandalay,Member,Male,Health and beauty,Credit card
20.01,9,15,6,2,2,B,Mandalay,Member,Female,Food and beverages,Ewallet
18.93,6,12,10,2,6,B,Mandalay,Member,Male,Electronic accessories,Credit card
82.63,10,17,19,3,1,C,Naypyitaw,Member,Female,Fashion accessories,Ewallet
91.4,7,10,3,2,6,C,Naypyitaw,Member,Male,Food and beverages,Cash
44.59,5,15,10,2,6,A,Yangon,Member,Female,Food and beverages,Cash
17.87,4,14,22,3,4,B,Mandalay,Member,Female,Fashion accessories,Ewallet
15.43,1,15,25,1,4,C,Naypyitaw,Member,Male,Fashion accessories,Credit card
16.16,2,11,7,3,3,B,Mandalay,Normal,Male,Home and lifestyle,Ewallet
85.98,8,19,28,2,3,C,Naypyitaw,Normal,Female,Electronic accessories,Cash
44.34,2,11,27,3,2,A,Yangon,Member,Male,Home and lifestyle,Cash
89.6,8,11,7,2,3,A,Yangon,Normal,Male,Health and beauty,Ewallet
72.35,10,15,20,1,6,A,Yangon,Member,Female,Home and lifestyle,Cash
30.61,6,20,12,3,1,C,Naypyitaw,Normal,Male,Electronic accessories,Cash
24.74,3,17,15,2,4,C,Naypyitaw,Member,Female,Sports and travel,Credit card
55.73,6,10,24,2,6,C,Naypyitaw,Normal,Male,Home and lifestyle,Ewallet
55.07,9,13,3,2,6,B,Mandalay,Member,Female,Sports and travel,Ewallet
15.81,10,12,6,3,2,A,Yangon,Member,Male,Sports and travel,Credit card
75.74,4,14,14,2,3,B,Mandalay,Member,Male,Health and beauty,Cash
15.87,10,16,13,3,2,A,Yangon,Member,Male,Health and beauty,Cash
33.47,2,15,10,2,6,C,Naypyitaw,Normal,Female,Health and beauty,Ewallet
97.61,6,15,7,1,0,B,Mandalay,Member,Female,Fashion accessories,Ewallet
78.77,10,10,24,1,3,A,Yangon,Normal,Male,Sports and travel,Cash
18.33,1,18,2,2,5,A,Yangon,Member,Female,Health and beauty,Cash
89.48,10,12,6,1,6,C,Naypyitaw,Normal,Male,Food and beverages,Credit card
62.12,10,16,11,2,0,C,Naypyitaw,Normal,Male,Fashion accessories,Cash
48.52,3,18,5,3,1,B,Mandalay,Member,Female,Food and beverages,Ewallet
75.91,6,18,9,3,5,C,Naypyitaw,Normal,Female,Electronic accessories,Cash
74.67,9,10,22,1,1,A,Yangon,Normal,Male,Home and lifestyle,Ewallet
41.65,10,17,13,1,6,C,Naypyitaw,Normal,Female,Electronic accessories,Credit card
49.04,9,14,9,1,2,C,Naypyitaw,Member,Male,Fashion accessories,Credit card
20.01,9,15,12,1,5,A,Yangon,Member,Female,Fashion accessories,Credit card
78.31,10,16,5,3,1,C,Naypyitaw,Member,Female,Food and beverages,Ewallet
20.38,5,18,22,1,1,C,Naypyitaw,Normal,Female,Health and beauty,Cash
99.19,6,14,21,1,0,C,Naypyitaw,Normal,Female,Health and beauty,Credit card
96.68,3,19,26,1,5,B,Mandalay,Normal,Female,Food and beverages,Ewallet
19.25,8,18,23,1,2,C,Naypyitaw,Normal,Male,Food and beverages,Ewallet
80.36,4,18,23,2,5,C,Naypyitaw,Member,Female,Food and beverages,Credit card
48.91,5,10,9,3,5,C,Naypyitaw,Member,Male,Sports and travel,Cash
83.06,7,14,5,3,1,C,Naypyitaw,Normal,Female,Sports and travel,Ewallet
76.52,5,10,25,3,0,C,Naypyitaw,Normal,Male,Fashion accessories,Cash
49.38,7,20,27,3,2,A,Yangon,Member,Male,Food and beverages,Credit card
42.47,1,16,2,1,2,A,Yangon,Normal,Male,Sports and travel,Cash
76.99,6,17,27,2,2,B,Mandalay,Normal,Female,Health and beauty,Cash
47.38,4,10,23,1,2,C,Naypyitaw,Member,Female,Home and lifestyle,Cash
44.86,10,19,26,1,5,C,Naypyitaw,Normal,Female,Sports and travel,Ewallet
21.98,7,16,10,1,3,A,Yangon,Member,Female,Sports and travel,Ewallet
64.36,9,12,12,3,1,B,Mandalay,Member,Male,Health and beauty,Credit card
89.75,1,20,6,2,2,C,Naypyitaw,Normal,Male,Health and beauty,Credit card
97.16,1,20,8,3,4,A,Yangon,Normal,Male,Electronic accessories,Ewallet
87.87,10,10,29,3,4,B,Mandalay,Normal,Male,Health and beauty,Ewallet
